class,coverage,stride,accuracy,n_samples
Archery,75,1,0.809524,105
BabyCrawling,75,1,1.0,112
BalanceBeam,75,1,0.825397,63
BandMarching,75,1,0.409449,127
BaseballPitch,75,1,0.775862,58
Basketball,75,1,0.90625,64
BasketballDunk,75,1,0.969697,33
BenchPress,75,1,1.0,89
Biking,75,1,0.93865,163
Billiards,75,1,0.991379,232
BlowDryHair,75,1,0.69697,99
BlowingCandles,75,1,1.0,49
BodyWeightSquats,75,1,0.571429,63
Bowling,75,1,0.954545,88
BoxingPunchingBag,75,1,0.779661,177
BoxingSpeedBag,75,1,0.90604,149
BreastStroke,75,1,0.965517,87
BrushingTeeth,75,1,0.40404,198
CleanAndJerk,75,1,0.926606,109
CliffDiving,75,1,0.804348,46
CricketBowling,75,1,0.358209,67
CricketShot,75,1,0.464789,71
CuttingInKitchen,75,1,0.980392,102
Diving,75,1,0.992806,139
Drumming,75,1,0.991561,237
Fencing,75,1,1.0,72
FieldHockeyPenalty,75,1,0.785714,70
FloorGymnastics,75,1,0.58427,89
FrisbeeCatch,75,1,0.791667,48
FrontCrawl,75,1,0.346457,127
GolfSwing,75,1,0.972727,110
Haircut,75,1,0.693548,62
HammerThrow,75,1,0.671233,146
Hammering,75,1,0.672727,55
HandstandPushups,75,1,0.648148,54
HandstandWalking,75,1,0.539326,89
HeadMassage,75,1,0.91954,174
HighJump,75,1,0.216216,74
HorseRace,75,1,0.957627,118
HorseRiding,75,1,1.0,151
HulaHoop,75,1,0.947368,57
IceDancing,75,1,0.946341,205
JavelinThrow,75,1,0.703704,54
JugglingBalls,75,1,0.868852,183
JumpRope,75,1,0.705128,312
JumpingJack,75,1,0.871795,39
Kayaking,75,1,0.982456,114
Knitting,75,1,1.0,138
LongJump,75,1,0.541667,72
Lunges,75,1,0.65,160
MilitaryParade,75,1,1.0,62
Mixing,75,1,0.989474,95
MoppingFloor,75,1,0.782609,115
Nunchucks,75,1,0.385093,161
ParallelBars,75,1,0.896552,87
PizzaTossing,75,1,0.813559,59
PlayingCello,75,1,0.915033,153
PlayingDaf,75,1,0.976959,217
PlayingDhol,75,1,0.96587,293
PlayingFlute,75,1,0.990909,220
PlayingGuitar,75,1,1.0,211
PlayingPiano,75,1,0.946429,112
PlayingSitar,75,1,0.838462,260
PlayingTabla,75,1,0.967532,154
PlayingViolin,75,1,0.978723,94
PoleVault,75,1,0.746479,142
PommelHorse,75,1,0.791304,230
PullUps,75,1,0.830769,65
Punch,75,1,0.959064,171
PushUps,75,1,1.0,42
Rafting,75,1,0.552083,96
RockClimbingIndoor,75,1,0.946269,335
RopeClimbing,75,1,0.941748,103
Rowing,75,1,0.910256,234
SalsaSpin,75,1,0.821839,174
ShavingBeard,75,1,0.923077,195
Shotput,75,1,0.237288,59
SkateBoarding,75,1,0.853659,82
Skiing,75,1,0.634731,167
Skijet,75,1,0.914286,140
SkyDiving,75,1,0.975904,83
SoccerJuggling,75,1,0.917391,230
SoccerPenalty,75,1,0.964912,57
StillRings,75,1,0.855422,83
SumoWrestling,75,1,0.95,120
Surfing,75,1,0.859649,114
Swing,75,1,0.882812,128
TableTennisShot,75,1,0.96,100
TaiChi,75,1,0.857143,84
TennisSwing,75,1,0.877551,98
ThrowDiscus,75,1,0.929825,57
TrampolineJumping,75,1,0.985612,139
Typing,75,1,1.0,149
UnevenBars,75,1,0.75,64
VolleyballSpiking,75,1,0.942308,52
WalkingWithDog,75,1,0.930233,129
WallPushups,75,1,0.754386,57
WritingOnBoard,75,1,1.0,105
YoYo,75,1,0.889908,109
ApplyEyeMakeup,100,1,0.945312,128
ApplyLipstick,100,1,0.973451,113
Archery,100,1,0.819048,105
BabyCrawling,100,1,1.0,112
BalanceBeam,100,1,0.857143,63
BandMarching,100,1,0.409449,127
BaseballPitch,100,1,0.810345,58
Basketball,100,1,0.953125,64
BasketballDunk,100,1,0.969697,33
BenchPress,100,1,1.0,89
Biking,100,1,0.969325,163
Billiards,100,1,0.991379,232
BlowDryHair,100,1,0.767677,99
BlowingCandles,100,1,1.0,49
BodyWeightSquats,100,1,0.555556,63
Bowling,100,1,0.977273,88
BoxingPunchingBag,100,1,0.774011,177
BoxingSpeedBag,100,1,0.912752,149
BreastStroke,100,1,0.954023,87
BrushingTeeth,100,1,0.434343,198
CleanAndJerk,100,1,0.954128,109
CliffDiving,100,1,0.869565,46
CricketBowling,100,1,0.298507,67
CricketShot,100,1,0.450704,71
CuttingInKitchen,100,1,0.970588,102
Diving,100,1,0.985612,139
Drumming,100,1,1.0,237
Fencing,100,1,1.0,72
FieldHockeyPenalty,100,1,0.814286,70
FloorGymnastics,100,1,0.674157,89
FrisbeeCatch,100,1,0.770833,48
FrontCrawl,100,1,0.362205,127
GolfSwing,100,1,0.963636,110
Haircut,100,1,0.677419,62
HammerThrow,100,1,0.664384,146
Hammering,100,1,0.618182,55
HandstandPushups,100,1,0.574074,54
HandstandWalking,100,1,0.58427,89
HeadMassage,100,1,0.925287,174
HighJump,100,1,0.256757,74
HorseRace,100,1,0.949153,118
HorseRiding,100,1,0.993377,151
HulaHoop,100,1,0.947368,57
IceDancing,100,1,0.936585,205
JavelinThrow,100,1,0.759259,54
JugglingBalls,100,1,0.846995,183
JumpRope,100,1,0.711538,312
JumpingJack,100,1,0.897436,39
Kayaking,100,1,0.973684,114
Knitting,100,1,1.0,138
LongJump,100,1,0.597222,72
Lunges,100,1,0.66875,160
MilitaryParade,100,1,1.0,62
Mixing,100,1,0.989474,95
MoppingFloor,100,1,0.791304,115
Nunchucks,100,1,0.403727,161
ParallelBars,100,1,0.91954,87
PizzaTossing,100,1,0.79661,59
PlayingCello,100,1,0.895425,153
PlayingDaf,100,1,0.976959,217
PlayingDhol,100,1,0.969283,293
PlayingFlute,100,1,0.995455,220
PlayingGuitar,100,1,1.0,211
PlayingPiano,100,1,0.955357,112
PlayingSitar,100,1,0.842308,260
PlayingTabla,100,1,0.967532,154
PlayingViolin,100,1,0.989362,94
PoleVault,100,1,0.809859,142
PommelHorse,100,1,0.830435,230
PullUps,100,1,0.876923,65
Punch,100,1,0.959064,171
PushUps,100,1,1.0,42
Rafting,100,1,0.541667,96
RockClimbingIndoor,100,1,0.934328,335
RopeClimbing,100,1,0.961165,103
Rowing,100,1,0.92735,234
SalsaSpin,100,1,0.856322,174
ShavingBeard,100,1,0.876923,195
Shotput,100,1,0.186441,59
SkateBoarding,100,1,0.914634,82
Skiing,100,1,0.628743,167
Skijet,100,1,0.914286,140
SkyDiving,100,1,0.975904,83
SoccerJuggling,100,1,0.930435,230
SoccerPenalty,100,1,0.964912,57
StillRings,100,1,0.86747,83
SumoWrestling,100,1,0.933333,120
Surfing,100,1,0.842105,114
Swing,100,1,0.929688,128
TableTennisShot,100,1,0.96,100
TaiChi,100,1,0.880952,84
TennisSwing,100,1,0.918367,98
ThrowDiscus,100,1,0.929825,57
TrampolineJumping,100,1,0.971223,139
Typing,100,1,1.0,149
UnevenBars,100,1,0.78125,64
VolleyballSpiking,100,1,0.942308,52
WalkingWithDog,100,1,0.937984,129
WallPushups,100,1,0.701754,57
WritingOnBoard,100,1,1.0,105
YoYo,100,1,0.917431,109
ApplyEyeMakeup,10,2,0.976562,128
ApplyLipstick,10,2,0.867257,113
Archery,10,2,0.657143,105
BabyCrawling,10,2,0.830357,112
BalanceBeam,10,2,0.587302,63
BandMarching,10,2,0.409449,127
BaseballPitch,10,2,0.775862,58
Basketball,10,2,0.71875,64
BasketballDunk,10,2,1.0,33
BenchPress,10,2,1.0,89
Biking,10,2,0.723926,163
Billiards,10,2,1.0,232
BlowDryHair,10,2,0.30303,99
BlowingCandles,10,2,0.959184,49
BodyWeightSquats,10,2,0.15873,63
Bowling,10,2,0.954545,88
BoxingPunchingBag,10,2,0.480226,177
BoxingSpeedBag,10,2,0.315436,149
BreastStroke,10,2,0.804598,87
BrushingTeeth,10,2,0.20202,198
CleanAndJerk,10,2,0.733945,109
CliffDiving,10,2,0.717391,46
CricketBowling,10,2,0.597015,67
CricketShot,10,2,0.380282,71
CuttingInKitchen,10,2,0.970588,102
Diving,10,2,1.0,139
Drumming,10,2,0.957806,237
Fencing,10,2,0.930556,72
FieldHockeyPenalty,10,2,0.628571,70
FloorGymnastics,10,2,0.292135,89
FrisbeeCatch,10,2,0.25,48
FrontCrawl,10,2,0.181102,127
GolfSwing,10,2,0.881818,110
Haircut,10,2,0.580645,62
HammerThrow,10,2,0.506849,146
Hammering,10,2,0.672727,55
HandstandPushups,10,2,0.777778,54
HandstandWalking,10,2,0.303371,89
HeadMassage,10,2,0.712644,174
HighJump,10,2,0.0,74
HorseRace,10,2,0.822034,118
HorseRiding,10,2,0.94702,151
HulaHoop,10,2,0.719298,57
IceDancing,10,2,0.804878,205
JavelinThrow,10,2,0.537037,54
JugglingBalls,10,2,0.535519,183
JumpRope,10,2,0.503205,312
JumpingJack,10,2,0.435897,39
Kayaking,10,2,0.850877,114
Knitting,10,2,0.92029,138
LongJump,10,2,0.569444,72
Lunges,10,2,0.0625,160
MilitaryParade,10,2,1.0,62
Mixing,10,2,0.852632,95
MoppingFloor,10,2,0.582609,115
Nunchucks,10,2,0.055901,161
ParallelBars,10,2,0.724138,87
PizzaTossing,10,2,0.271186,59
PlayingCello,10,2,0.941176,153
PlayingDaf,10,2,0.986175,217
PlayingDhol,10,2,0.904437,293
PlayingFlute,10,2,0.968182,220
PlayingGuitar,10,2,1.0,211
PlayingPiano,10,2,1.0,112
PlayingSitar,10,2,0.796154,260
PlayingTabla,10,2,0.961039,154
PlayingViolin,10,2,0.957447,94
PoleVault,10,2,0.535211,142
PommelHorse,10,2,0.465217,230
PullUps,10,2,0.615385,65
Punch,10,2,0.912281,171
PushUps,10,2,0.928571,42
Rafting,10,2,0.604167,96
RockClimbingIndoor,10,2,0.970149,335
RopeClimbing,10,2,0.582524,103
Rowing,10,2,0.726496,234
SalsaSpin,10,2,0.114943,174
ShavingBeard,10,2,0.789744,195
Shotput,10,2,0.644068,59
SkateBoarding,10,2,0.707317,82
Skiing,10,2,0.538922,167
Skijet,10,2,0.721429,140
SkyDiving,10,2,0.746988,83
SoccerJuggling,10,2,0.4,230
SoccerPenalty,10,2,1.0,57
StillRings,10,2,0.746988,83
SumoWrestling,10,2,0.783333,120
Surfing,10,2,0.982456,114
Swing,10,2,0.492188,128
TableTennisShot,10,2,0.92,100
TaiChi,10,2,0.678571,84
TennisSwing,10,2,0.734694,98
ThrowDiscus,10,2,0.719298,57
TrampolineJumping,10,2,0.805755,139
Typing,10,2,0.993289,149
UnevenBars,10,2,0.453125,64
VolleyballSpiking,10,2,0.807692,52
WalkingWithDog,10,2,0.651163,129
WallPushups,10,2,0.77193,57
WritingOnBoard,10,2,1.0,105
YoYo,10,2,0.183486,109
ApplyEyeMakeup,25,2,0.96875,128
ApplyLipstick,25,2,0.929204,113
Archery,25,2,0.771429,105
BabyCrawling,25,2,0.919643,112
BalanceBeam,25,2,0.714286,63
BandMarching,25,2,0.488189,127
BaseballPitch,25,2,0.775862,58
Basketball,25,2,0.828125,64
BasketballDunk,25,2,1.0,33
BenchPress,25,2,1.0,89
Biking,25,2,0.834356,163
Billiards,25,2,1.0,232
BlowDryHair,25,2,0.434343,99
BlowingCandles,25,2,1.0,49
BodyWeightSquats,25,2,0.285714,63
Bowling,25,2,0.977273,88
BoxingPunchingBag,25,2,0.694915,177
BoxingSpeedBag,25,2,0.449664,149
BreastStroke,25,2,0.896552,87
BrushingTeeth,25,2,0.242424,198
CleanAndJerk,25,2,0.807339,109
CliffDiving,25,2,0.782609,46
CricketBowling,25,2,0.492537,67
CricketShot,25,2,0.464789,71
CuttingInKitchen,25,2,0.990196,102
Diving,25,2,1.0,139
Drumming,25,2,0.966245,237
Fencing,25,2,0.972222,72
FieldHockeyPenalty,25,2,0.642857,70
FloorGymnastics,25,2,0.359551,89
FrisbeeCatch,25,2,0.479167,48
FrontCrawl,25,2,0.346457,127
GolfSwing,25,2,0.954545,110
Haircut,25,2,0.741935,62
HammerThrow,25,2,0.636986,146
Hammering,25,2,0.672727,55
HandstandPushups,25,2,0.833333,54
HandstandWalking,25,2,0.460674,89
HeadMassage,25,2,0.83908,174
HighJump,25,2,0.054054,74
HorseRace,25,2,0.881356,118
HorseRiding,25,2,0.980132,151
HulaHoop,25,2,0.894737,57
IceDancing,25,2,0.897561,205
JavelinThrow,25,2,0.592593,54
JugglingBalls,25,2,0.726776,183
JumpRope,25,2,0.637821,312
JumpingJack,25,2,0.564103,39
Kayaking,25,2,0.912281,114
Knitting,25,2,0.963768,138
LongJump,25,2,0.527778,72
Lunges,25,2,0.15625,160
MilitaryParade,25,2,1.0,62
Mixing,25,2,0.915789,95
MoppingFloor,25,2,0.669565,115
Nunchucks,25,2,0.173913,161
ParallelBars,25,2,0.770115,87
PizzaTossing,25,2,0.40678,59
PlayingCello,25,2,0.954248,153
PlayingDaf,25,2,0.976959,217
PlayingDhol,25,2,0.918089,293
PlayingFlute,25,2,0.986364,220
PlayingGuitar,25,2,1.0,211
PlayingPiano,25,2,1.0,112
PlayingSitar,25,2,0.819231,260
PlayingTabla,25,2,0.980519,154
PlayingViolin,25,2,0.957447,94
PoleVault,25,2,0.542254,142
PommelHorse,25,2,0.573913,230
PullUps,25,2,0.692308,65
Punch,25,2,0.935673,171
PushUps,25,2,0.97619,42
Rafting,25,2,0.65625,96
RockClimbingIndoor,25,2,0.979104,335
RopeClimbing,25,2,0.708738,103
Rowing,25,2,0.82906,234
SalsaSpin,25,2,0.333333,174
ShavingBeard,25,2,0.851282,195
Shotput,25,2,0.644068,59
SkateBoarding,25,2,0.768293,82
Skiing,25,2,0.580838,167
Skijet,25,2,0.814286,140
SkyDiving,25,2,0.855422,83
SoccerJuggling,25,2,0.621739,230
SoccerPenalty,25,2,0.982456,57
StillRings,25,2,0.746988,83
SumoWrestling,25,2,0.866667,120
Surfing,25,2,1.0,114
Swing,25,2,0.695312,128
TableTennisShot,25,2,0.94,100
TaiChi,25,2,0.72619,84
TennisSwing,25,2,0.744898,98
ThrowDiscus,25,2,0.754386,57
TrampolineJumping,25,2,0.913669,139
Typing,25,2,0.986577,149
UnevenBars,25,2,0.546875,64
VolleyballSpiking,25,2,0.923077,52
WalkingWithDog,25,2,0.75969,129
WallPushups,25,2,0.77193,57
WritingOnBoard,25,2,1.0,105
YoYo,25,2,0.46789,109
ApplyEyeMakeup,50,2,0.976562,128
ApplyLipstick,50,2,0.946903,113
Archery,50,2,0.752381,105
BabyCrawling,50,2,0.982143,112
BalanceBeam,50,2,0.84127,63
BandMarching,50,2,0.440945,127
BaseballPitch,50,2,0.775862,58
Basketball,50,2,0.875,64
BasketballDunk,50,2,0.969697,33
BenchPress,50,2,1.0,89
Biking,50,2,0.90184,163
Billiards,50,2,1.0,232
BlowDryHair,50,2,0.575758,99
BlowingCandles,50,2,1.0,49
BodyWeightSquats,50,2,0.460317,63
Bowling,50,2,0.965909,88
BoxingPunchingBag,50,2,0.728814,177
BoxingSpeedBag,50,2,0.66443,149
BreastStroke,50,2,0.965517,87
BrushingTeeth,50,2,0.338384,198
CleanAndJerk,50,2,0.926606,109
CliffDiving,50,2,0.782609,46
CricketBowling,50,2,0.477612,67
CricketShot,50,2,0.507042,71
CuttingInKitchen,50,2,0.990196,102
Diving,50,2,0.985612,139
Drumming,50,2,0.962025,237
Fencing,50,2,0.986111,72
FieldHockeyPenalty,50,2,0.671429,70
FloorGymnastics,50,2,0.483146,89
FrisbeeCatch,50,2,0.666667,48
FrontCrawl,50,2,0.346457,127
GolfSwing,50,2,0.972727,110
Haircut,50,2,0.580645,62
HammerThrow,50,2,0.657534,146
Hammering,50,2,0.654545,55
HandstandPushups,50,2,0.722222,54
HandstandWalking,50,2,0.52809,89
HeadMassage,50,2,0.885057,174
HighJump,50,2,0.054054,74
HorseRace,50,2,0.915254,118
HorseRiding,50,2,1.0,151
HulaHoop,50,2,0.929825,57
IceDancing,50,2,0.931707,205
JavelinThrow,50,2,0.555556,54
JugglingBalls,50,2,0.781421,183
JumpRope,50,2,0.698718,312
JumpingJack,50,2,0.871795,39
Kayaking,50,2,0.982456,114
Knitting,50,2,0.985507,138
LongJump,50,2,0.527778,72
Lunges,50,2,0.39375,160
MilitaryParade,50,2,1.0,62
Mixing,50,2,0.989474,95
MoppingFloor,50,2,0.695652,115
Nunchucks,50,2,0.291925,161
ParallelBars,50,2,0.83908,87
PizzaTossing,50,2,0.762712,59
PlayingCello,50,2,0.954248,153
PlayingDaf,50,2,0.986175,217
PlayingDhol,50,2,0.962457,293
PlayingFlute,50,2,0.986364,220
PlayingGuitar,50,2,1.0,211
PlayingPiano,50,2,0.973214,112
PlayingSitar,50,2,0.85,260
PlayingTabla,50,2,0.967532,154
PlayingViolin,50,2,0.968085,94
