class,coverage,stride,accuracy,n_samples
BodyWeightSquats,75,1,0.555556,63
Bowling,75,1,0.965909,88
BoxingPunchingBag,75,1,0.649718,177
BoxingSpeedBag,75,1,0.66443,149
BreastStroke,75,1,0.954023,87
BrushingTeeth,75,1,0.393939,198
CleanAndJerk,75,1,0.899083,109
CliffDiving,75,1,0.913043,46
CricketBowling,75,1,0.492537,67
CricketShot,75,1,0.507042,71
CuttingInKitchen,75,1,1.0,102
Diving,75,1,0.992806,139
Drumming,75,1,0.987342,237
Fencing,75,1,0.958333,72
FieldHockeyPenalty,75,1,0.842857,70
FloorGymnastics,75,1,0.685393,89
FrisbeeCatch,75,1,0.916667,48
FrontCrawl,75,1,0.141732,127
GolfSwing,75,1,0.972727,110
Haircut,75,1,0.612903,62
HammerThrow,75,1,0.527397,146
Hammering,75,1,0.654545,55
HandstandPushups,75,1,0.740741,54
HandstandWalking,75,1,0.382022,89
HeadMassage,75,1,0.91954,174
HighJump,75,1,0.27027,74
HorseRace,75,1,0.90678,118
HorseRiding,75,1,0.986755,151
HulaHoop,75,1,0.894737,57
IceDancing,75,1,0.926829,205
JavelinThrow,75,1,0.814815,54
JugglingBalls,75,1,0.928962,183
JumpRope,75,1,0.801282,312
JumpingJack,75,1,0.974359,39
Kayaking,75,1,0.964912,114
Knitting,75,1,0.992754,138
LongJump,75,1,0.583333,72
Lunges,75,1,0.65625,160
MilitaryParade,75,1,1.0,62
Mixing,75,1,0.873684,95
MoppingFloor,75,1,0.782609,115
Nunchucks,75,1,0.63354,161
ParallelBars,75,1,0.83908,87
PizzaTossing,75,1,0.779661,59
PlayingCello,75,1,0.928105,153
PlayingDaf,75,1,0.990783,217
PlayingDhol,75,1,0.94198,293
PlayingFlute,75,1,0.981818,220
PlayingGuitar,75,1,0.990521,211
PlayingPiano,75,1,0.991071,112
PlayingSitar,75,1,0.915385,260
PlayingTabla,75,1,0.993506,154
PlayingViolin,75,1,0.93617,94
PoleVault,75,1,0.767606,142
PommelHorse,75,1,0.930435,230
PullUps,75,1,0.784615,65
Punch,75,1,0.964912,171
PushUps,75,1,0.904762,42
Rafting,75,1,0.625,96
RockClimbingIndoor,75,1,0.919403,335
RopeClimbing,75,1,0.92233,103
Rowing,75,1,0.991453,234
SalsaSpin,75,1,0.902299,174
ShavingBeard,75,1,0.723077,195
Shotput,75,1,0.338983,59
SkateBoarding,75,1,0.890244,82
Skiing,75,1,0.802395,167
Skijet,75,1,1.0,140
SkyDiving,75,1,0.963855,83
SoccerJuggling,75,1,0.73913,230
SoccerPenalty,75,1,0.842105,57
StillRings,75,1,0.843373,83
SumoWrestling,75,1,0.916667,120
Surfing,75,1,0.885965,114
Swing,75,1,0.820312,128
TableTennisShot,75,1,1.0,100
TaiChi,75,1,0.77381,84
TennisSwing,75,1,0.969388,98
ThrowDiscus,75,1,0.912281,57
TrampolineJumping,75,1,0.978417,139
Typing,75,1,0.973154,149
UnevenBars,75,1,0.921875,64
VolleyballSpiking,75,1,1.0,52
WalkingWithDog,75,1,0.775194,129
WallPushups,75,1,0.701754,57
WritingOnBoard,75,1,1.0,105
YoYo,75,1,0.733945,109
ApplyEyeMakeup,100,1,0.953125,128
ApplyLipstick,100,1,0.867257,113
Archery,100,1,0.952381,105
BabyCrawling,100,1,0.982143,112
BalanceBeam,100,1,0.761905,63
BandMarching,100,1,0.700787,127
BaseballPitch,100,1,0.827586,58
Basketball,100,1,0.875,64
