class,coverage,stride,accuracy,n_samples
BaseballPitch,50,1,0.8354978354978355,231
Basketball,50,1,0.8469055374592834,307
BasketballDunk,50,1,0.965034965034965,143
BenchPress,50,1,0.9967105263157896,304
Biking,50,1,0.9706422018348624,545
Billiards,50,1,0.9897039897039897,777
BlowDryHair,50,1,0.901669758812616,539
BlowingCandles,50,1,0.9832402234636872,179
BodyWeightSquats,50,1,0.7427385892116183,241
Bowling,50,1,0.9807692307692308,312
BoxingPunchingBag,50,1,0.9764492753623188,552
BoxingSpeedBag,50,1,0.9912280701754386,570
BreastStroke,50,1,0.9337539432176656,317
BrushingTeeth,50,1,0.8246205733558178,593
CleanAndJerk,50,1,0.9293478260869564,368
CliffDiving,50,1,0.847953216374269,171
CricketBowling,50,1,0.9558823529411764,204
CricketShot,50,1,0.8347457627118644,236
CuttingInKitchen,50,1,0.9876160990712074,323
Diving,50,1,0.9537444933920703,454
Drumming,50,1,0.986970684039088,921
Fencing,50,1,0.9478260869565216,230
FieldHockeyPenalty,50,1,0.9570815450643776,233
FloorGymnastics,50,1,0.7322580645161291,310
FrisbeeCatch,50,1,0.7428571428571429,175
FrontCrawl,50,1,0.9598997493734336,399
GolfSwing,50,1,0.9792746113989638,386
Haircut,50,1,0.8298429319371727,382
HammerThrow,50,1,0.8269662921348314,445
Hammering,50,1,0.97,300
HandstandPushups,50,1,0.9793388429752066,242
HandstandWalking,50,1,0.865625,320
HeadMassage,50,1,0.9678800856531048,467
HighJump,50,1,0.227906976744186,215
HorseRace,50,1,0.8660869565217392,575
HorseRiding,50,1,0.9585585585585584,555
HulaHoop,50,1,0.9484536082474226,194
IceDancing,50,1,0.8784530386740331,724
JavelinThrow,50,1,0.7790055248618785,181
JugglingBalls,50,1,0.9542961608775136,547
JumpRope,50,1,0.8351464435146444,1195
JumpingJack,50,1,0.8796992481203008,133
Kayaking,50,1,0.8779527559055118,508
Knitting,50,1,0.9869281045751634,459
LongJump,50,1,0.1909722222222222,288
Lunges,50,1,0.6869070208728653,527
MilitaryParade,50,1,0.935483870967742,248
Mixing,50,1,0.9732824427480916,262
MoppingFloor,50,1,0.795,400
Nunchucks,50,1,0.6144144144144145,555
ParallelBars,50,1,0.7881040892193308,269
PizzaTossing,50,1,0.9144144144144144,222
PlayingCello,50,1,0.9911111111111112,675
PlayingDaf,50,1,0.9777227722772276,808
PlayingDhol,50,1,0.997737556561086,884
PlayingFlute,50,1,0.9775725593667546,758
PlayingGuitar,50,1,1.0,796
PlayingPiano,50,1,0.9928571428571428,420
PlayingSitar,50,1,0.9990530303030304,1056
PlayingTabla,50,1,0.9963436928702012,547
PlayingViolin,50,1,0.9968354430379748,316
PoleVault,50,1,0.6191588785046729,428
PommelHorse,50,1,0.9553571428571428,784
PullUps,50,1,0.8616071428571429,224
Punch,50,1,0.9478672985781992,844
PushUps,50,1,0.934959349593496,123
Rafting,50,1,0.6854838709677419,372
RockClimbingIndoor,50,1,0.9487427466150872,1034
RopeClimbing,50,1,0.8888888888888888,351
Rowing,50,1,0.9357142857142856,840
SalsaSpin,50,1,0.851782363977486,533
ShavingBeard,50,1,0.9487577639751552,644
Shotput,50,1,0.8563829787234043,188
SkateBoarding,50,1,0.9233576642335768,274
Skiing,50,1,0.8882575757575758,528
Skijet,50,1,0.7327188940092166,434
SkyDiving,50,1,0.9423076923076924,364
SoccerJuggling,50,1,0.792803970223325,806
SoccerPenalty,50,1,1.0,189
StillRings,50,1,0.8743016759776536,358
SumoWrestling,50,1,0.9777777777777776,405
Surfing,50,1,0.8116591928251121,446
Swing,50,1,0.965,400
TableTennisShot,50,1,0.9728395061728397,405
TaiChi,50,1,0.9428571428571428,315
TennisSwing,50,1,0.8977272727272727,440
ThrowDiscus,50,1,0.776595744680851,188
TrampolineJumping,50,1,0.945823927765237,443
Typing,50,1,0.9918367346938776,490
UnevenBars,50,1,0.7303370786516854,267
VolleyballSpiking,50,1,0.8820754716981132,212
WalkingWithDog,50,1,0.9014989293361884,467
WallPushups,50,1,0.9658119658119658,234
WritingOnBoard,50,1,0.9952718676122932,423
YoYo,50,1,0.8863636363636364,396
ApplyEyeMakeup,75,1,0.9443099273607748,413
ApplyLipstick,75,1,0.9736842105263158,342
Archery,75,1,0.9751243781094528,402
BabyCrawling,75,1,0.9893048128342246,374
BalanceBeam,75,1,0.8341232227488151,211
BandMarching,75,1,0.84,575
BaseballPitch,75,1,0.8874458874458875,231
Basketball,75,1,0.9120521172638436,307
BasketballDunk,75,1,0.9790209790209792,143
BenchPress,75,1,1.0,304
Biking,75,1,0.9871559633027523,545
Billiards,75,1,0.990990990990991,777
BlowDryHair,75,1,0.8979591836734694,539
BlowingCandles,75,1,0.994413407821229,179
